seq,workload,strategy,tenant_id,key,latency_ms,output_rows,files,file_ranges,build_parts_cost,scan_cost,elapsed_await,finish_time
470,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,b2234ac6-2abe-4a4e-ab71-fc055952b6c3,125,16,82,585,11ms,368ms,57ms,119ms
480,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,bab8df49-a84c-43ba-aeb7-f49a140f2bd3,118,18,80,582,9.0ms,260ms,50ms,115ms
490,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,f02cc888-8f69-4d14-ad7a-d7a6dd561f2e,73,10,80,582,10ms,157ms,96ms,69ms
500,q-conv-clustered,b,68b4d330-7ca0-476a-b224-b26bc3176700,59c014db-9d4e-4f66-bb8c-585c624c4c87,66,8,80,583,11ms,100ms,43ms,63ms
510,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,10e4bca6-3e0a-457d-8150-d51d51b469bb,219,14,82,585,10ms,693ms,142ms,215ms
520,q-conv-clustered,b,68b4d330-7ca0-476a-b224-b26bc3176700,6e6ae89d-4dd1-4c9b-a850-7d1c863a9581,66,8,80,583,10ms,153ms,74ms,61ms
530,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,ca002b71-e111-45ed-8a52-f4e94052df98,31,7,82,585,11ms,60ms,18ms,27ms
540,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,197865f1-0369-4d29-8d44-3987d43c5c76,62,14,80,583,8.6ms,95ms,35ms,58ms
550,q-conv-clustered,b,c44dc1fc-8f74-43dd-9566-d8b2be710def,b17f808d-0ed1-42b6-90e9-fd05e1967d88,71,13,80,583,11ms,118ms,51ms,66ms
560,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,77bb7a76-1d60-4036-8bc4-fe9bfc7f84ed,98,10,80,582,8.9ms,237ms,89ms,93ms
570,q-conv-clustered,b,c44dc1fc-8f74-43dd-9566-d8b2be710def,742345a5-1cf2-4682-94e6-74dc60c53179,48,8,80,583,12ms,61ms,28ms,44ms
580,q-conv-clustered,b,c44dc1fc-8f74-43dd-9566-d8b2be710def,0487cc43-0b45-44d7-a3a6-140c6721d84f,72,7,80,583,11ms,143ms,36ms,67ms
590,q-conv-clustered,b,eee42173-a8dc-4a3f-be3d-79f44dada5b3,39536512-395e-4a7b-95fb-2ab2eca84fa0,40,12,80,583,13ms,73ms,35ms,36ms
600,q-conv-clustered,b,eee42173-a8dc-4a3f-be3d-79f44dada5b3,731b3c47-559c-406e-9c64-21ea6f7f1dad,79,23,80,583,13ms,193ms,18ms,75ms
610,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,7103e3bc-5c15-45e2-8ac5-d7ff3bc63443,39,7,82,584,12ms,71ms,15ms,34ms
620,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,f134b204-b1a8-4752-8b21-66573a15d453,181,7,80,582,10ms,422ms,27ms,173ms
630,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,05562a95-fc03-4b69-b6de-0e29338824bc,77,23,82,585,13ms,143ms,25ms,72ms
